,jail_sentence,criminal_risk_radius,cop_catch_radius,criminal_risk_aversion,criminal_disconnectivity,Run,Centrum,Criminals in jail,Nieuw-West,Noord,Oost,Total crimes,West,Zuid,Zuidoost
659,13,3,4,164,67,659.0,0.43789999999999984,7.0,5.2935500000000015,4.592050000000001,6.6069499999999985,6423.0,1.8756500000000003,2.5970250000000004,1.9104250000000003
660,11,9,4,164,67,660.0,0.43789999999999984,7.0,5.2935500000000015,4.592050000000001,6.6069499999999985,6423.0,1.8756500000000003,2.5970250000000004,1.9104250000000003
661,11,3,9,164,67,661.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
662,11,3,4,232,67,662.0,1.0746,5.0,4.537374999999996,5.089475,10.204099999999997,7240.0,1.597025,4.4775750000000025,2.397950000000001
663,11,3,4,164,92,663.0,1.4527,29.0,2.2537000000000003,1.2785749999999994,1.104549999999999,2784.0,1.8010249999999999,1.8408250000000002,0.23882500000000012
664,13,9,9,232,92,664.0,0.79105,34.0,0.0,0.0,0.0,1263.0,0.0,3.5273250000000003,0.0
665,1,7,8,414,17,665.0,1.1193750000000002,9.0,8.258725000000004,2.4527999999999994,5.398075,6789.0,2.198950000000001,4.034800000000001,1.741275
666,3,7,8,414,17,666.0,0.8706250000000004,10.0,6.9205250000000005,2.3681999999999994,4.243749999999999,6121.0,1.6517499999999998,3.82595,1.4677249999999995
667,1,5,8,414,17,667.0,0.8706250000000004,10.0,6.9205250000000005,2.3681999999999994,4.243749999999999,6121.0,1.6517499999999998,3.82595,1.4677249999999995
668,1,7,4,414,17,668.0,2.989975,38.0,1.890525000000001,1.3681249999999991,0.8954999999999997,3475.0,2.303425000000001,2.20895,0.3084500000000003
669,1,7,8,482,17,669.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
670,1,7,8,414,42,670.0,0.6418,33.0,2.4576999999999996,1.318375,5.338175,3539.0,1.417875,1.4925249999999997,0.796
671,3,5,4,482,42,671.0,1.452725,4.0,9.084450000000002,3.1047249999999993,3.4579000000000004,5821.0,1.587125000000001,3.746225,0.7363
672,1,4,6,328,97,672.0,2.989975,38.0,1.890525000000001,1.3681249999999991,0.8954999999999997,3475.0,2.303425000000001,2.20895,0.3084500000000003
673,1,4,6,328,97,673.0,0.7264,27.0,3.3234500000000002,1.4029999999999998,2.9602499999999994,3612.0,1.1243500000000015,2.3234000000000004,0.6566999999999998
